;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL15060345;171840;0.77;5;1;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060383;171840;3.6;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060383;171840;1.21;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060383;171820;3.83;5;3;1;3;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060420;171840;0.35;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060420;171840;3.35;5;1;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060420;171820;28;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060467;171840;9.75;5;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060467;171840;5.34;5;1;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060536;171840;2.79;5;1;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060536;171840;1.27;5;1;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060543;171840;6.57;2;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060570;171840;4.6;2;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060570;171840;6.39;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060570;171840;4.2;5;1;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060667;171840;4.46;13;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060667;171840;5.97;13;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060797;171840;6.73;5;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060797;171840;8.15;5;2;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060845;171840;0.91;13;1;1;1;0°C B-1 ;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060907;171840;1.92;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060907;171840;8.19;5;2;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060907;171820;0.82;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060909;171840;1.89;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060909;171840;93;5;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060909;171820;7.3;5;3;1;3;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060910;171840;2.64;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060910;171840;12;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060933;171840;9.8;5;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060933;171840;5.52;5;2;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060964;171840;5.45;15;2;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061007;171840;6.47;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061007;171840;0.47;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061007;171840;5.99;5;3;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061007;171820;4.63;15;2;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061011;171840;8.75;5;2;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061022;171840;8.24;15;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061022;171840;0.81;5;1;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061140;171840;5.78;5;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061204;171840;3.88;5;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061215;171840;4.4;2;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061228;171840;6.97;5;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061228;171840;3.31;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061235;171840;8.91;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061236;171840;5;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061236;171820;4.78;5;3;1;2;-20°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061237;171840;0.41;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061239;171840;3.77;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061239;171820;5.88;5;3;1;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061244;171840;7.19;5;1;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061260;171840;0.95;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15061260;171840;62;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061261;171840;5.96;5;2;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061261;171840;1.76;5;2;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061262;171840;98;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061262;171840;4.16;5;2;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15061262;171820;84;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061263;171840;82;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061263;171820;5.19;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15061264;171840;0.55;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
