,ARN,PATH,Use/yr,Estado de Disponibilidad,Germinacion,Cantidad de Semillas,Numero_De_Inventario,Cava,Especie,Id del Centro,Longevidad,Ultimo Monitoreo
187,BGVCOL15061281,171840.0,6.96,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
188,BGVCOL15061282,171840.0,3.58,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
189,BGVCOL15061282,171840.0,4.21,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
190,BGVCOL15061282,171840.0,0.05,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
191,BGVCOL15061282,171820.0,4.83,5,3.0,2,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
192,BGVCOL15061283,171840.0,4.71,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
193,BGVCOL15061283,171840.0,5.93,5,3.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
194,BGVCOL15061283,171840.0,7.37,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
195,BGVCOL15061283,171820.0,0.46,5,3.0,3,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
196,BGVCOL15061284,171840.0,2.62,5,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
197,BGVCOL15061284,171840.0,0.73,5,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
198,BGVCOL15061285,171840.0,7.94,2,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
199,BGVCOL15061286,171840.0,6.79,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
200,BGVCOL15061286,171840.0,6.32,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
201,BGVCOL15061286,171820.0,3.23,5,3.0,2,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
202,BGVCOL15061287,171840.0,0.24,5,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
203,BGVCOL15061287,171840.0,3.5,5,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
204,BGVCOL15061287,171820.0,0.73,5,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
205,BGVCOL15061288,171840.0,7.55,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
206,BGVCOL15061288,171840.0,9.7,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
207,BGVCOL15061288,171820.0,2.24,15,3.0,2,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
208,BGVCOL15061289,171840.0,7.6,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
209,BGVCOL15061289,171840.0,6.13,5,1.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
210,BGVCOL15061289,171840.0,5.5,5,1.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
211,BGVCOL15061290,171840.0,3.98,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
212,BGVCOL15061290,171840.0,3.55,5,2.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
213,BGVCOL15061290,171840.0,4.33,5,1.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
214,BGVCOL15061290,171820.0,9.09,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
215,BGVCOL15061291,171840.0,8.37,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
216,BGVCOL15061291,171840.0,5.84,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
217,BGVCOL15061291,171840.0,6.97,5,3.0,3,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
218,BGVCOL15061291,171820.0,3.96,15,3.0,2,4.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
219,BGVCOL15061292,171840.0,1.93,5,2.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
220,BGVCOL15061293,171840.0,6.41,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
221,BGVCOL15061293,171840.0,2.68,5,1.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
222,BGVCOL15061293,171820.0,2.13,5,3.0,1,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
223,BGVCOL15061295,171840.0,8.96,15,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
224,BGVCOL15061295,171840.0,1.02,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
225,BGVCOL15061295,171840.0,2.07,5,2.0,3,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
226,BGVCOL15061295,171820.0,8.49,15,3.0,3,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
227,BGVCOL15061296,171840.0,6.07,15,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
228,BGVCOL15061296,171840.0,2.66,5,2.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
229,BGVCOL15061296,171840.0,7.45,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
230,BGVCOL15061296,171820.0,0.9,5,3.0,1,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
231,BGVCOL15061297,171840.0,3.85,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
232,BGVCOL15061297,171840.0,7.55,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
233,BGVCOL15061297,171820.0,7.58,5,3.0,2,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
234,BGVCOL15061298,171840.0,9.91,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
235,BGVCOL15061298,171820.0,1.51,15,3.0,2,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
236,BGVCOL15061299,171840.0,6.16,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
237,BGVCOL15061299,171840.0,5.43,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
238,BGVCOL15061299,171840.0,8.65,5,1.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
239,BGVCOL15061300,171840.0,2.11,15,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
240,BGVCOL15061300,171840.0,7.92,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
241,BGVCOL15061300,171840.0,8.3,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
242,BGVCOL15061300,171820.0,5.33,15,3.0,3,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
243,BGVCOL15061301,171840.0,7.31,15,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
