;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030101;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030101;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030102;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030102;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030103;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030103;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030104;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030104;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030105;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030105;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030106;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030106;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030107;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030107;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030108;1001030101;5;7;2.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030108;1001030101;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;17/01/2014 0:00
BGVCOL11030108;1001030101;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030108;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030109;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030109;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
