CNR;ParentCNR;Cat;Count;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Use/yr.NA;Estado de disponibilidad.NA;Clases de gerninacion.NA;Cantida De Semillas.NA
21090301;210903;Ortodoxas;20;3.3;2.55;2.35;1.85;0;0;0;0
2109030102;21090301;Medio;2;3;1;3;2;0;0;0;0
2109030103;21090301;Alto;18;3.33;2.72;2.28;1.83;0;0;0;0
12;Vegetables and melons;Berenjena;4;3;4;2.5;2.75;0;0;0;0
1201;12;Solanum melongena;4;3;4;2.5;2.75;0;0;0;0
120101;1201;M20GC;3;3;5;2.33;2.67;0;0;0;0
12010101;120101;Ortodoxas;1;3;1;3;2;0;0;0;0
1201010102;12010101;Medio;1;3;1;3;2;0;0;0;0
12010103;120101;Recalcitrantes;2;3;7;2;3;0;0;0;0
1201010302;12010103;Medio;2;3;7;2;3;0;0;0;0
120103;1201;4GC;1;3;1;3;3;0;0;0;0
12010303;120103;Recalcitrantes;1;3;1;3;3;0;0;0;0
1201030303;12010303;Alto;1;3;1;3;3;0;0;0;0
19;Cereals;Sorgo;923;1;3.47;2.8;1.59;0;0;0;0
1901;19;Sorghum bicolor;923;1;3.47;2.8;1.59;0;0;0;0
190101;1901;M20GC;743;1;4.07;2.84;1.68;0;0;0;0
19010101;190101;Ortodoxas;743;1;4.07;2.84;1.68;0;0;0;0
1901010101;19010101;Bajo;246;1;3.95;2.83;1;0;0;0;0
1901010102;19010101;Medio;489;1;4.11;2.86;2;0;0;0;0
1901010103;19010101;Alto;8;1;5;2.38;3;0;0;0;0
190103;1901;4GC;180;1;1;2.62;1.22;0;0;0;0
19010301;190103;Ortodoxas;180;1;1;2.62;1.22;0;0;0;0
1901030101;19010301;Bajo;145;1;1;2.68;1.11;0;0;0;0
1901030102;19010301;Medio;29;1;1;2.52;1.76;0;0;0;0
1901030103;19010301;Alto;6;1;1;1.83;1.17;0;0;0;0
15;Cereals;Maiz;519;1;7.71;2.23;1.32;0;0;0;0
1501;15;Zea mays;519;1;7.71;2.23;1.32;0;0;0;0
150101;1501;M20GC;197;1;2.93;2.66;1.66;0;0;0;0
15010101;150101;Ortodoxas;197;1;2.93;2.66;1.66;0;0;0;0
1501010101;15010101;Bajo;67;1;3.6;2.54;1.04;0;0;0;0
1501010102;15010101;Medio;129;1;2.59;2.73;1.98;0;0;0;0
1501010103;15010101;Alto;1;1;2;3;3;0;0;0;0
150103;1501;4GC;322;1;10.63;1.96;1.11;0;0;0;0
15010301;150103;Ortodoxas;322;1;10.63;1.96;1.11;0;0;0;0
1501030101;15010301;Bajo;287;1;11.04;1.93;1.06;0;0;0;0
1501030102;15010301;Medio;35;1;7.23;2.2;1.51;0;0;0;0
root;"";CGN collection;8447;3.39;3.69;2.38;1.89;0;0;0;0
Leguminous crops;root;Leguminous crops;2575;5;4.09;2.57;1.5;0;0;0;0
Cereals;root;Cereals;2480;2.94;4.53;2.56;1.52;0;0;0;0
Fruits and nuts;root;Fruits and nuts;562;3;3.16;1.84;2.54;0;0;0;0
Root/tuber crops with high starch or inulin conten;root;Root/tuber crops with high starch or inulin conten;2124;5;1.88;2.36;1.74;0;0;0;0
Vegetables and melons;root;Vegetables and melons;706;3.19;3.38;2.44;2.14;0;0;0;0
