,Accession_id,Inventory_id,ARN,Especie,Cantidad_De_Semilla,Estado_De_Disponibilidad,Numero_De_Inventario,Cava,Fecha_De_Origen,Fecha_ultima_Prueba,Porcentaje_Normal,Fecha_De_Entrada_Cava
5997,8068,41423,BGVCOL11030868,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5998,8068,41424,BGVCOL11030868,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5999,8069,41425,BGVCOL11030869,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6000,8069,41426,BGVCOL11030869,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
6001,8070,41427,BGVCOL11030870,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6002,8070,41428,BGVCOL11030870,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6003,8071,41429,BGVCOL11030871,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6004,8071,41430,BGVCOL11030871,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
6005,8072,41431,BGVCOL11030872,Glycine max,2,8,1.0,0°C B-1,1998-03-01 00:00:00,2004-12-15 00:00:00,2.0,0.0
6006,8072,41432,BGVCOL11030872,Glycine max,1,8,2.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6007,8072,41433,BGVCOL11030872,Glycine max,1,13,3.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6008,8072,41434,BGVCOL11030872,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2003-03-12 00:00:00,3.0,0.0
6009,8073,41435,BGVCOL11030873,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6010,8073,41436,BGVCOL11030873,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6011,8074,41437,BGVCOL11030874,Glycine max,1,5,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6012,8074,41438,BGVCOL11030874,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6013,8075,41439,BGVCOL11030875,Glycine max,1,5,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6014,8075,41440,BGVCOL11030875,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6015,8076,41441,BGVCOL11030876,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6016,8076,41442,BGVCOL11030876,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6017,8077,41443,BGVCOL11030877,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6018,8077,41444,BGVCOL11030877,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6019,8078,41445,BGVCOL11030878,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
6020,8079,41446,BGVCOL11030879,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6021,8079,41447,BGVCOL11030879,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
6022,8080,41448,BGVCOL11030880,Glycine max,1,8,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
6023,8080,41449,BGVCOL11030880,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
6024,8081,41450,BGVCOL11030881,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
6025,8081,41451,BGVCOL11030881,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
